PHI1,IDT_1atm(microsec),PHI2,IDT_3atm(microsec),PHI3,IDT_5atm(microsec),PHI4,IDT_10atm(microsec)
0.527104,32.658,0.570666,33.607,0.548749,15.512,0.601555,29.403
0.551626,62.496,0.602499,72.116,0.592439,42.46,0.619254,49.465
0.561696,78.96,0.604606,85.226,0.59601,49.465,0.655148,115.12
0.570462,108.71,0.632703,166.24,0.628335,93.761,0.681453,255.42
0.592714,176.88,0.657549,332.08,0.652204,191.82,0.706799,346.65
0.595153,172.71,0.680771,629.45,0.681111,407.72,0.709064,477.26
0.595637,193.66,0.683692,712.61,0.690691,548.1,,
0.62244,318.12,0.696201,887.54,0.710672,776.52,,
0.629748,375.95,0.721872,1204.6,,,,
0.645825,588.77,,,,,,
0.670354,908.97,,,,,,
