phi,GRI_Mech_3.0,RMG 99% conv (700-2000K),GRI3 Reduced 17,GRI3 Reduced 24
0.5,4.878535649085807,5.36418794276434,3.3282710493032353,3.5687851602475376
0.55,7.884534251990311,8.578525335655375,5.726621790193496,5.992673808788778
0.6,11.443707025152092,12.286160914602176,8.823175124696908,9.005992238595562
0.65,15.318022451427332,16.282662435810114,12.376463991790047,12.36129849776009
0.7,19.3450007429734,20.40336162791199,16.217316573244986,15.848569495653928
0.75,23.32608066610733,24.498623771713017,20.07340119930622,19.301962507408767
0.8,27.131160279405513,28.464391829175316,23.736911665514757,22.459307204739506
0.8500000000000001,30.71695834639766,32.04801951663295,27.00591238684939,25.17981083482892
0.9,33.76986304812866,35.12449018573928,29.739220979123914,27.37462336100821
0.95,36.17312600251549,37.66442269806095,31.78412517815411,28.742495626546354
1.0,37.819085902605174,39.285334444459416,32.84452173172989,29.12076036414441
1.05,38.57075376866514,39.993409981515015,32.572144438796144,28.340459484777746
1.1,38.17338666438278,39.49003756547024,30.24486185796342,25.916971265897043
1.15,36.51589819556762,37.73821244883962,23.715881798059463,21.71687209490474
1.2000000000000002,33.306869513452384,34.33559880913176,16.878595913536422,15.407312699355549
1.25,28.874645132292454,29.606861336424817,13.758911704647767,8.389575636727201
1.3,23.611969081625407,24.001096598285557,11.64603671955436,6.878005944059678
1.35,18.252103112841336,18.32609420723793,10.030174697660936,6.225322974592734
1.4,13.871536254823871,13.665263005568015,8.795001185315025,5.753231363268148
1.4500000000000002,11.660117712823538,11.339077367260057,7.83538432935122,5.35622673460536
1.5,10.20358913639061,9.868394128975124,7.046574861935224,5.00486904765469
