ER1,FS_1 atm,ER2,FS_2 atm,ER3,FS_3 atm,ER4,FS_4 atm,ER5,FS_5 atm,ER6,FS_10 atm,ER7,FS_20 atm,,ER,Equivalence ratio
0.64822,14.4737,0.69968,13.6224,0.69883,9.6435,0.64802,6.558,0.69889,6.76,0.69834,4.1201,0.69898,2.2518,,FS,Flamespeed
0.69901,18.4191,0.74867,16.1856,0.79797,18.8606,0.69824,8.9937,0.79812,11.5095,0.79883,6.4734,0.79704,4.8895,,,
0.74857,23.5026,0.79886,20.009,0.89905,21.9044,0.74846,11.47,0.89858,15.4874,0.89865,11.7103,0.89873,7.9332,,,
0.80906,26.0664,0.85026,23.4666,0.99893,24.8669,0.79865,15.4084,0.99966,18.7342,0.99915,13.9012,0.99924,9.2712,,,
0.85804,29.6865,0.89804,25.6639,1.09827,23.8899,0.89909,20.1173,1.09777,19.0163,1.09848,13.6959,1.09857,9.1471,,,
0.88887,32.7366,0.99969,28.392,1.19887,20.8416,0.99898,22.1864,1.19959,15.3994,1.19907,10.8913,1.19916,6.6674,,,
0.94753,35.91,1.09833,29.1282,1.3002,11.8231,1.09892,21.6968,1.30023,10.1173,1.2997,6.7464,1.29912,5.0406,,,
0.99898,36.1156,1.19946,25.0271,1.34928,10.8066,1.19895,16.8615,,,,,1.39847,4.3073,,,
1.0486,36.7276,1.30063,18.1211,,,,,,,,,,,,,
1.1509,35.6753,,,,,,,,,,,,,,,
1.19875,32.7913,,,,,,,,,,,,,,,
1.25509,28.6881,,,,,,,,,,,,,,,
