phi,GRI_Mech_3.0,RMG_95conv_26min,RMG_99conv_1h25min,RMG 99% conv (700-2000K)
0.5,4.878535649,5.213315445,5.332876873,5.364187943
0.55,7.884534252,8.338273991,8.546032231,8.578525336
0.6,11.44370703,11.92496808,12.25838145,12.28616091
0.65,15.31802245,15.81004953,16.25960381,16.28266244
0.7,19.34500074,19.79461367,20.38612982,20.40336163
0.75,23.32608067,23.76036212,24.48848643,24.49862377
0.8,27.13116028,27.55932309,28.46332817,28.46439183
0.85,30.71695835,30.97842874,32.06147606,32.04801952
0.9,33.76986305,33.89906811,35.14336971,35.12449019
0.95,36.173126,36.25239077,37.71032782,37.6644227
1,37.8190859,37.78421799,39.35808513,39.28533444
1.05,38.57075377,38.45050053,40.10465852,39.99340998
1.1,38.17338666,37.91192918,39.69543578,39.49003757
1.15,36.5158982,36.12988971,37.95336225,37.73821245
1.2,33.30686951,32.92723895,34.62730358,34.33559881
1.25,28.87464513,28.55608745,29.95831123,29.60686134
1.3,23.61196908,23.35045135,24.41037331,24.0010966
1.35,18.25210311,18.13410809,18.76994613,18.32609421
1.4,13.87153625,13.77402875,14.04543938,13.66526301
1.45,11.66011771,11.56684504,11.6194186,11.33907737
1.5,10.20358914,10.12993369,10.13258349,9.868394129
